,Data,Open,High,Low,Close,Vol,Momentum,RSI,APO,MACD,ROC,Stoch2,Stoch1,WillR
0,1990-05-01,330.8,332.83,330.8,332.25,165577778.0,,,,,,,,
1,1990-05-02,332.25,334.48,332.15,334.48,157344450.0,,,,,,,,
2,1990-05-03,334.48,337.02,334.47,335.57,161733333.0,,,,,,,,
3,1990-05-04,335.58,338.46,335.17,338.39,156166661.0,,,,,,,,
4,1990-05-07,338.39,341.07,338.11,340.53,147511111.0,,,,,,,,
5,1990-05-08,340.53,342.03,340.17,342.01,160255550.0,,,,,,,,
6,1990-05-09,342.01,343.08,340.9,342.86,169133333.0,,,,,,,,
7,1990-05-10,342.87,344.98,342.77,343.82,176066667.0,,,,,,,,
8,1990-05-11,343.82,352.31,343.82,352.0,260044444.0,,,,,,94.47902143140708,95.64879637393732,
9,1990-05-14,352.0,358.41,351.95,354.75,250455561.0,,,,,,88.64214774312116,92.75347125106198,
10,1990-05-15,354.75,355.09,352.84,354.28,184144450.0,,,,,6.630549285176812,84.72152998244347,89.28089971899057,
11,1990-05-16,354.27,354.68,351.95,354.0,177566673.0,,,,,5.835924419995209,76.05025253086269,83.13797675214244,
12,1990-05-17,354.0,356.92,354.0,354.47,183077784.0,,,,,5.632207885091045,73.73724975318518,78.16967742216379,
13,1990-05-18,354.47,354.64,352.52,354.64,180577778.0,,,,,4.802151363810991,62.14637937335209,70.64462721913333,-13.654473017022951
14,1990-05-21,354.64,359.07,353.78,358.0,184755556.0,,97.24770642201834,,,5.130238158165223,66.5359930595692,67.47320739536883,-3.97473997028229
15,1990-05-22,358.0,360.5,356.09,358.43,225944439.0,,97.29369639437088,,,4.801029209672247,67.46741688987835,65.38326310759989,-7.952362658470976
16,1990-05-23,358.43,359.29,356.99,359.29,191477784.0,,97.38771287306243,,,4.792043399638346,81.86615884280006,71.95652293074922,-4.776944334780814
17,1990-05-24,359.29,359.56,357.87,358.41,172377778.0,,93.7969630623028,,,4.243499505555248,78.14536340852158,75.82631304706668,-9.334524341223654
18,1990-05-25,358.41,358.41,354.32,354.58,133611117.0,,79.97591486165572,,,0.732954545454545,56.85045948203871,72.28732724445346,-29.11952779144132
19,1990-05-29,354.58,360.65,354.55,360.65,152677784.0,,83.99984916600853,,,1.6631430584918894,61.90476190476209,65.63352826510749,-0.0
20,1990-05-30,360.65,362.26,360.0,360.86,221711123.0,,84.11875360533514,,,1.857288020774539,64.75750669705344,61.17090936128477,-7.1831708568495465
21,1990-05-31,360.86,361.84,360.23,361.23,184100006.0,,84.33957675528917,,,2.042372881355936,89.79848866498763,72.15358575560107,-5.585683297179896
22,1990-06-01,361.26,363.52,361.21,363.16,208733345.0,,85.4741725415746,,,2.451547380596386,88.49414083890082,81.01671206698065,-3.1114952463263355
23,1990-06-04,363.16,367.85,362.43,367.4,195022222.0,,87.59968485218899,,,3.598014888337464,93.24373522789575,90.51212157726142,-2.830188679245563
24,1990-06-05,367.4,368.78,365.49,366.64,221911111.0,,85.19332414882864,,,2.413407821229052,89.4433071884426,90.3937277517464,-12.715389185977353
25,1990-06-06,366.64,366.64,364.42,364.96,182255550.0,,79.96414123560017,8.531858974359068,,1.8218341098680257,75.85486749016289,86.18063663550042,-23.493234932349296
26,1990-06-07,365.92,365.92,361.6,363.15,178177778.0,,74.64795530136111,7.772564102564161,,1.074341061538031,52.191845999845405,72.49667355948364,-34.624846248462475
27,1990-06-08,363.15,363.49,357.68,358.71,158444444.0,,63.49623348275117,6.86397435897436,,0.08370302167906019,30.076131196203395,52.7076148954039,-67.1333333333333
28,1990-06-11,358.71,361.63,357.7,361.63,132833327.0,,66.98898328089462,6.056666666666729,,1.9882678098031459,23.497447249098453,35.255141481715754,-49.44674965421845
29,1990-06-12,361.63,367.27,361.15,366.25,174555556.0,,71.61642264884786,5.63846153846157,,1.5527519755996089,44.74292853854897,32.77216899461694,-17.496542185338704
30,1990-06-13,366.25,367.09,364.51,364.9,176566661.0,,68.59073715503986,5.5611538461539,,1.1195477470486992,66.7454211249832,44.99526563754355,-26.832641770401114
31,1990-06-14,364.9,364.9,361.64,362.9,150855561.0,,64.25933697437053,4.945192307692366,,0.46230933200452906,73.027459158846,61.50526960745939,-40.663900414937785
32,1990-06-15,362.89,363.14,360.71,362.91,227922228.0,,64.27148574924666,4.344871794871892,,-0.06884018063663122,61.38647268775642,67.05311765719522,-41.2508784258606
33,1990-06-18,362.91,362.91,356.88,356.88,148299994.0,,52.649811554197946,3.4800641025641994,4.709897851693995,-2.863364180729444,36.29088700822917,56.901606284943874,-100.0
34,1990-06-19,356.88,358.9,356.18,358.47,149922228.0,,54.962358165281614,2.840384615384778,4.107155423019947,-2.2283438795548616,25.143626281462733,40.94032865914945,-81.82539682539661
35,1990-06-20,358.47,359.91,357.0,359.1,152688889.0,,55.881780125432954,1.9814102564104132,3.6383725467309773,-1.6056554142919621,18.158718679661703,26.53107732311788,-76.82539682539664
36,1990-06-21,359.1,360.88,357.63,360.47,153966673.0,,57.89476285346096,1.2291666666668561,3.3389173297327375,-0.7379870576896486,38.70469569115611,27.33568021742686,-65.9523809523807
37,1990-06-22,360.52,363.2,355.31,355.43,191744450.0,,49.03152988585627,0.380000000000166,2.664199796987873,-0.9143876669175599,32.215027371374084,29.692813914063976,-99.109131403118
38,1990-06-25,355.42,356.41,351.91,352.31,147888889.0,,44.49074143035263,-0.440256410256211,1.8563248092590925,-2.577219810303344,22.233933984083606,31.051219015537942,-97.39583333333347
